"Raca","Sexo","EstadoCivil","NumPessoasFam","IdadeAnos","RendTrabPrinc","RendTrabDemais","RendOutrasFontes"
"Branca","Feminino","Divorciado(a)",3,39,500,0,0
"Branca","Feminino","Divorciado(a)",1,59,510,0,0
"Branca","Feminino","Divorciado(a)",3,48,510,0,0
"Parda","Feminino","Divorciado(a)",4,36,510,0,0
"Parda","Feminino","Divorciado(a)",3,37,510,0,0
"Branca","Feminino","Solteiro(a)",4,30,510,0,0
"Branca","Masculino","Solteiro(a)",4,22,510,0,0
"Branca","Masculino","Solteiro(a)",6,18,510,0,0
"Amarela","Feminino","Solteiro(a)",3,25,480,0,0
"Branca","Masculino","Solteiro(a)",3,28,510,0,0
"Parda","Feminino","Solteiro(a)",7,30,510,0,0
"Parda","Feminino","Solteiro(a)",7,28,510,0,0
"Branca","Feminino","Solteiro(a)",7,20,510,0,0
"Parda","Masculino","Solteiro(a)",4,27,510,0,0
"Parda","Feminino","Solteiro(a)",3,34,510,0,0
"Branca","Feminino","Solteiro(a)",4,21,510,0,0
"Branca","Masculino","Solteiro(a)",4,23,510,0,0
"Branca","Masculino","Solteiro(a)",3,21,510,0,0
"Branca","Feminino","Solteiro(a)",4,20,510,0,0
"Preta","Feminino","Solteiro(a)",5,43,450,0,0
"Branca","Feminino","Solteiro(a)",3,30,510,0,0
"Branca","Masculino","Solteiro(a)",3,51,510,0,0
"Branca","Feminino","Solteiro(a)",2,20,510,0,0
"Branca","Masculino","Solteiro(a)",5,22,510,0,0
"Branca","Masculino","Solteiro(a)",3,20,255,0,0
"Parda","Masculino","Solteiro(a)",8,19,510,0,0
"Parda","Masculino","Solteiro(a)",6,48,510,0,0
"Parda","Feminino","Solteiro(a)",3,41,450,0,40
"Parda","Feminino","Solteiro(a)",5,30,510,0,0
"Parda","Feminino","Solteiro(a)",2,33,500,0,0
"Branca","Feminino","Solteiro(a)",6,21,500,0,0
"Branca","Masculino","Solteiro(a)",2,26,510,0,0
"Parda","Masculino","Solteiro(a)",10,23,510,0,0
"Branca","Feminino","Solteiro(a)",5,21,510,0,0
"Branca","Feminino","Solteiro(a)",4,18,510,0,0
"Branca","Feminino","Solteiro(a)",4,50,510,0,0
"Parda","Masculino","Solteiro(a)",6,25,510,0,0
"Parda","Masculino","Solteiro(a)",6,22,510,0,0
"Parda","Masculino","Solteiro(a)",3,22,510,0,0
"Parda","Masculino","Solteiro(a)",3,18,510,0,0
"Branca","Feminino","Solteiro(a)",3,38,510,0,0
"Branca","Masculino","Solteiro(a)",5,18,510,0,0
"Branca","Feminino","Solteiro(a)",3,36,510,0,0
"Parda","Masculino","Solteiro(a)",4,19,510,0,0
"Parda","Masculino","Solteiro(a)",4,25,510,0,0
"Parda","Feminino","Solteiro(a)",5,38,510,0,0
"Preta","Feminino","Solteiro(a)",2,34,510,0,0
"Branca","Feminino","Solteiro(a)",6,51,500,0,0
"Branca","Feminino","Solteiro(a)",4,32,500,0,0
"Parda","Feminino","Solteiro(a)",6,34,500,0,0
"Parda","Feminino","Solteiro(a)",2,35,510,0,0
"Parda","Feminino","Solteiro(a)",4,23,510,0,0
"Parda","Feminino","Solteiro(a)",4,30,510,0,0
"Branca","Masculino","Solteiro(a)",2,54,510,0,0
"Parda","Feminino","Solteiro(a)",3,32,450,0,0
"Branca","Masculino","Solteiro(a)",3,23,510,0,0
"Parda","Feminino","Solteiro(a)",6,18,500,0,0
"Parda","Feminino","Solteiro(a)",7,26,510,0,0
"Branca","Feminino","Solteiro(a)",2,36,510,0,0
"Branca","Feminino","Solteiro(a)",5,18,405,0,0
"Parda","Feminino","Solteiro(a)",5,19,510,0,0
"Branca","Masculino","Solteiro(a)",2,38,510,0,0
"Branca","Feminino","Solteiro(a)",2,22,510,0,0
"Parda","Feminino","Solteiro(a)",3,25,510,0,0
"Branca","Feminino","Solteiro(a)",3,25,510,0,0
"Parda","Masculino","Solteiro(a)",4,20,510,0,0
"Branca","Masculino","Solteiro(a)",4,45,500,0,0
"Branca","Masculino","Solteiro(a)",4,20,220,0,0
"Branca","Feminino","Solteiro(a)",2,24,500,0,0
"Preta","Feminino","Solteiro(a)",2,43,510,0,0
"Branca","Feminino","Solteiro(a)",4,27,510,0,0
"Branca","Feminino","Solteiro(a)",3,33,350,0,0
"Parda","Masculino","Solteiro(a)",4,50,300,0,0
"Branca","Feminino","Solteiro(a)",5,42,510,0,0
"Parda","Feminino","Solteiro(a)",2,29,500,0,0
"Branca","Masculino","Solteiro(a)",3,21,510,0,0
"Parda","Masculino","Solteiro(a)",7,19,510,0,0
"Branca","Feminino","Solteiro(a)",4,46,510,0,0
"Parda","Masculino","Solteiro(a)",4,43,510,0,0
"Preta","Masculino","Solteiro(a)",4,25,510,0,0
"Branca","Masculino","Solteiro(a)",7,20,500,0,0
"Branca","Feminino","Solteiro(a)",7,18,510,0,0
"Branca","Feminino","Solteiro(a)",3,31,510,0,0
"Branca","Masculino","Solteiro(a)",4,26,510,0,0
"Parda","Feminino","Solteiro(a)",2,25,420,0,0
"Preta","Feminino","Solteiro(a)",8,48,510,0,0
"Branca","Feminino","Solteiro(a)",4,35,400,0,0
"Parda","Feminino","Solteiro(a)",4,45,510,0,0
"Parda","Masculino","Solteiro(a)",4,36,510,0,0
